Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs
arxiv_2023_runjfco4siw_VGAE,33.31,56.55,84.13,99.34,100.0,100.0,48.49,33.31,56.55,84.13,99.34,100.0,100.0,79.81,99.18,62.79,16,16,128,0.1,1024,10,10,100,200
arxiv_2023_runrmy3u9wn_VGAE,33.31,56.55,84.13,99.34,100.0,100.0,48.49,33.31,56.55,84.13,99.34,100.0,100.0,79.81,99.18,62.79,16,16,128,0.01,1024,10,10,100,200
arxiv_2023_rune7ts7giz_VGAE,33.31,56.55,84.13,99.34,100.0,100.0,48.49,33.31,56.55,84.13,99.34,100.0,100.0,79.81,99.18,62.79,16,16,128,0.001,1024,10,10,100,200
arxiv_2023_run0i3zbwhb_VGAE,33.31,56.55,90.22,99.86,100.0,100.0,48.49,33.31,56.55,90.22,99.86,100.0,100.0,82.64,99.37,72.25,16,16,128,0.0001,1024,10,10,100,200
arxiv_2023_runlce0w6ge_VGAE,37.29,58.04,83.44,99.58,100.0,100.0,51.24,37.29,58.04,83.44,99.58,100.0,100.0,82.29,99.23,79.76,32,32,32,0.01,1024,10,10,100,500
arxiv_2023_runbwwyx2te_VGAE,37.67,58.21,83.5,99.61,100.0,100.0,51.44,37.67,58.21,83.5,99.61,100.0,100.0,82.72,99.23,80.38,32,32,32,0.01,1024,10,10,100,500
arxiv_2023_runomliaruo_VGAE,45.87,70.82,92.3,99.52,100.0,100.0,64.78,45.87,70.82,92.3,99.52,100.0,100.0,86.25,99.55,79.22,32,32,32,0.01,1024,10,10,100,500
arxiv_2023_runb4dep0xf_VGAE,44.94,71.91,96.23,99.95,100.0,100.0,59.48,44.94,71.91,96.23,99.95,100.0,100.0,87.46,99.59,67.99,32,32,32,0.01,1024,10,10,100,500
Best,45.87,71.91,96.23,99.95,100.0,100.0,64.78,45.87,71.91,96.23,99.95,100.0,100.0,87.46,99.59,80.38,32,32,128,0.1,1024,10,10,100,500
