Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
arxiv_2023_runr11murn4_GraphSage,4.36,26.93,47.26,61.76,80.53,91.68,29.65,4.36,26.93,47.26,61.71,81.9,91.94,97.69,97.77,85.29,0.015,1024,32,32,10000,0.9642107486724854,0.990441083908081,19264
arxiv_2023_runuiz3sjbn_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,48.73,66.89,83.06,91.94,97.81,97.9,85.29,0.015,1024,32,64,10000,0.873361349105835,0.9050860404968262,19264
arxiv_2023_runjvm5ichg_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,48.73,66.89,83.06,91.94,97.81,97.9,85.29,0.015,1024,32,128,10000,0.8223879337310791,0.8810563087463379,19264
arxiv_2023_rungvimf4sn_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,48.73,65.82,83.06,91.94,97.81,97.9,85.29,0.015,1024,64,128,10000,0.9920322895050048,1.048939228057861,38528
arxiv_2023_run8yuldfzs_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,48.73,65.82,83.06,91.94,97.81,97.9,85.29,0.015,1024,64,256,10000,0.9712750911712646,1.0011987686157229,38528
arxiv_2023_runllj3borp_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,48.73,65.82,83.06,91.94,97.81,97.9,85.29,0.015,1024,128,32,10000,0.978173017501831,1.0382742881774902,77056
arxiv_2023_runast5q2tq_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.81,97.9,85.29,0.015,1024,128,64,10000,1.0071680545806885,1.0493316650390625,77056
arxiv_2023_run4xlfckkf_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.81,97.9,85.29,0.015,1024,128,128,10000,0.9888355731964112,1.0489730834960938,77056
arxiv_2023_runqbrlflna_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.81,97.9,85.29,0.015,1024,128,256,10000,0.9606027603149414,0.9951937198638916,77056
arxiv_2023_run0aswtjmp_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.67,97.9,85.29,0.015,1024,256,32,10000,1.1504004001617432,1.1926305294036863,154112
arxiv_2023_rundpzortyq_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.67,97.9,85.29,0.015,1024,256,64,10000,1.132923603057861,1.18459153175354,154112
arxiv_2023_runmw8rrnin_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.67,97.9,85.29,0.015,1024,256,128,10000,1.1984267234802246,1.2216849327087402,154112
arxiv_2023_runswqh3oro_GraphSage,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,65.82,83.06,91.94,97.67,97.9,85.29,0.015,1024,256,256,10000,1.1370525360107422,1.1973607540130615,154112
Best,4.36,26.93,48.73,66.89,81.74,91.89,29.65,4.36,26.93,49.04,66.89,83.06,91.94,97.81,97.9,85.29,0.015,1024,256,256,10000,1.1984267234802246,1.2216849327087402,154112
