Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,epochs,train_time,test_time,params
cora_runp6kjelb3_GIN_Variant_hyperab4sjfbu,8.12,9.78,15.31,32.66,68.08,81.73,11.27,8.12,9.78,26.2,45.02,67.71,81.73,91.66,90.68,79.71,256,256,5,0.015,1,400,0.2724590301513672,0.2885389328002929,630272
cora_runp6kjelb3_GIN_Variant_hyper6eu49re0,17.16,40.77,43.91,86.9,95.76,98.71,44.39,17.16,40.77,43.91,86.9,95.76,98.71,97.93,97.83,89.39,256,256,5,0.015,2,400,0.3437678813934326,0.3614637851715088,959232
cora_runp6kjelb3_GIN_Variant_hypergq2uys37,22.88,35.98,60.7,86.53,95.39,98.34,33.69,22.88,35.98,60.7,86.53,95.39,98.34,97.22,96.93,91.42,256,256,5,0.015,3,400,0.4122591018676758,0.4319386482238769,1288192
cora_runp6kjelb3_GIN_Variant_hypertxwjrle0,11.99,14.21,20.48,43.73,77.31,90.59,15.28,11.99,14.21,34.87,52.95,77.31,90.59,93.5,92.21,80.54,256,256,5,0.1,1,400,0.2772207260131836,0.2941746711730957,630272
cora_runp6kjelb3_GIN_Variant_hyperla6srhuy,10.33,35.79,75.09,87.64,97.23,98.89,26.81,10.33,35.79,75.09,87.64,97.23,98.89,97.82,97.78,89.67,256,256,5,0.1,2,400,0.3337383270263672,0.3527863025665283,959232
cora_runp6kjelb3_GIN_Variant_hyperxi5x1afm,8.3,40.77,53.69,62.73,95.94,98.71,24.4,8.3,40.77,53.69,62.73,95.94,98.71,96.88,96.1,91.7,256,256,5,0.1,3,400,0.4908311367034912,0.5208263397216797,1288192
cora_runp6kjelb3_GIN_Variant_hyperxxqo6ckt,0.0,13.65,22.69,38.19,67.53,79.34,11.6,0.0,13.65,31.37,48.52,67.53,79.34,91.21,88.78,80.44,256,256,5,0.01,1,400,0.2744309902191162,0.2923460006713867,630272
cora_runp6kjelb3_GIN_Variant_hyperc6i9bkq8,15.13,36.16,80.63,90.77,97.97,98.89,29.8,15.13,36.16,80.63,90.77,97.97,98.89,98.35,98.31,85.79,256,256,5,0.01,2,400,0.3441619873046875,0.3635933399200439,959232
cora_runp6kjelb3_GIN_Variant_hyperhuc1rl3w,4.98,20.66,69.56,87.08,95.94,98.34,29.72,4.98,20.66,69.56,87.08,95.94,98.34,96.76,97.21,92.07,256,256,5,0.01,3,400,0.4176347255706787,0.43727564811706543,1288192
Best,22.88,40.77,80.63,90.77,97.97,98.89,44.39,22.88,40.77,80.63,90.77,97.97,98.89,98.35,98.31,92.07,256,256,5,0.1,3,400,0.4908311367034912,0.5208263397216797,1288192
