Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_doste6mq_vgae,0.3726,0.4068,0.6008,0.7338,0.8327,0.9202,0.434,0.3726,0.4068,0.6008,0.7338,0.8327,0.9202,0.902,0.918,0.81939
cora_10et14n1_vgae,0.4068,0.5171,0.6312,0.749,0.8441,0.924,0.4734,0.4068,0.5171,0.6312,0.749,0.8441,0.924,0.9073,0.9244,0.81369
cora_043cz5lx_vgae,0.3878,0.5019,0.5932,0.7186,0.8403,0.9163,0.4587,0.3878,0.5019,0.5932,0.7186,0.8403,0.9163,0.9055,0.9217,0.8289
cora_6myj137b_vgae,0.3802,0.4639,0.5932,0.7148,0.8403,0.9163,0.4476,0.3802,0.4639,0.5932,0.7148,0.8403,0.9163,0.9056,0.9208,0.81179
cora_kgcymoz3_vgae,0.3118,0.4677,0.6046,0.6768,0.8365,0.9278,0.4146,0.3118,0.4677,0.6046,0.6768,0.8365,0.9278,0.8953,0.914,0.82129
cora_7npv0rjq_vgae,0.384,0.4335,0.6198,0.7414,0.8517,0.9163,0.4472,0.384,0.4335,0.6198,0.7414,0.8517,0.9163,0.9075,0.9226,0.8289
cora_dyasr01e_vgae,0.403,0.5019,0.6008,0.7072,0.8403,0.9163,0.4656,0.403,0.5019,0.6008,0.7072,0.8403,0.9163,0.9054,0.9213,0.81939
cora_x8b9fs3k_vgae,0.3802,0.4943,0.6008,0.7224,0.8441,0.9163,0.451,0.3802,0.4943,0.6008,0.7224,0.8441,0.9163,0.9036,0.9205,0.81749
cora_vup7rq34_vgae,0.3574,0.4829,0.5932,0.6806,0.8289,0.924,0.4362,0.3574,0.4829,0.5932,0.6806,0.8289,0.924,0.8951,0.9143,0.81369
cora_e868whc9_vgae,0.384,0.4943,0.6198,0.7262,0.8365,0.9202,0.4549,0.384,0.4943,0.6198,0.7262,0.8365,0.9202,0.9049,0.9215,0.81369
cora_xhl71jnf_vgae,0.3764,0.5133,0.6084,0.7148,0.8403,0.9087,0.4525,0.3764,0.5133,0.6084,0.7148,0.8403,0.9087,0.9039,0.9208,0.81179
cora_lmeuvjww_vgae,0.3802,0.4943,0.5894,0.7072,0.8289,0.9125,0.4515,0.3802,0.4943,0.5894,0.7072,0.8289,0.9125,0.9037,0.9202,0.80608
cora_twsbsnqd_vgae,0.3384,0.4563,0.6084,0.6882,0.8251,0.9163,0.4234,0.3384,0.4563,0.6084,0.6882,0.8251,0.9163,0.8944,0.9135,0.81749
cora_lafkym4p_vgae,0.3802,0.5019,0.597,0.7148,0.8555,0.9125,0.4521,0.3802,0.5019,0.597,0.7148,0.8555,0.9125,0.9064,0.9219,0.80989
cora_nhbglb7e_vgae,0.384,0.4981,0.597,0.711,0.8517,0.9163,0.4531,0.384,0.4981,0.597,0.711,0.8517,0.9163,0.9081,0.9234,0.82129
cora_67wjylif_vgae,0.384,0.5057,0.6008,0.7186,0.8517,0.9125,0.4565,0.384,0.5057,0.6008,0.7186,0.8517,0.9125,0.9039,0.9214,0.81369
cora_rbkt54bn_vgae,0.3422,0.4563,0.6084,0.6882,0.8327,0.9163,0.4249,0.3422,0.4563,0.6084,0.6882,0.8327,0.9163,0.8943,0.9134,0.82129
cora_23cjogn1_vgae,0.3802,0.5057,0.6046,0.7186,0.8365,0.9125,0.4549,0.3802,0.5057,0.6046,0.7186,0.8365,0.9125,0.9032,0.9203,0.81179
cora_sfp90nds_vgae,0.384,0.4943,0.6198,0.7262,0.8365,0.9202,0.4557,0.384,0.4943,0.6198,0.7262,0.8365,0.9202,0.905,0.9216,0.81369
cora_zz9bvbhj_vgae,0.3726,0.4068,0.6274,0.749,0.8441,0.9202,0.4347,0.3726,0.4068,0.6274,0.749,0.8441,0.9202,0.9042,0.9198,0.82129
arxiv_2023_aoulap43_vgae,0.1762,0.3104,0.3863,0.5895,0.7487,0.8635,0.2661,0.1762,0.3104,0.3863,0.5895,0.7487,0.8635,0.9802,0.9812,0.76063
arxiv_2023_cgb12und_vgae,0.1518,0.2811,0.45,0.574,0.7673,0.8681,0.2531,0.1518,0.2811,0.45,0.574,0.7673,0.8681,0.981,0.9823,0.75388
arxiv_2023_q1fvzoii_vgae,0.1523,0.2806,0.4469,0.5735,0.768,0.8673,0.2525,0.1523,0.2806,0.4469,0.5735,0.768,0.8673,0.981,0.9823,0.75477
arxiv_2023_araxy851_vgae,0.1528,0.2821,0.4467,0.5704,0.7698,0.861,0.2532,0.1528,0.2821,0.4467,0.5704,0.7698,0.861,0.981,0.9822,0.75541
arxiv_2023_dsf0iz1y_vgae,0.152,0.2809,0.4487,0.5742,0.7667,0.8661,0.2528,0.152,0.2809,0.4487,0.5742,0.7667,0.8661,0.981,0.9823,0.75503
arxiv_2023_yq2i07ci_vgae,0.1525,0.2806,0.4497,0.5745,0.7698,0.8681,0.254,0.1525,0.2806,0.4497,0.5745,0.7698,0.8681,0.981,0.9823,0.7549
arxiv_2023_k2u0s8wn_vgae,0.1518,0.2783,0.4423,0.5722,0.7716,0.8655,0.2515,0.1518,0.2783,0.4423,0.5722,0.7716,0.8655,0.9812,0.9823,0.75528
arxiv_2023_7q3u9qvb_vgae,0.152,0.2793,0.4459,0.578,0.7721,0.8661,0.2523,0.152,0.2793,0.4459,0.578,0.7721,0.8661,0.9811,0.9823,0.75567
arxiv_2023_7b73c45q_vgae,0.1798,0.3114,0.4031,0.5921,0.7479,0.8625,0.2695,0.1798,0.3114,0.4031,0.5921,0.7479,0.8625,0.9801,0.9812,0.75974
arxiv_2023_or1pxddz_vgae,0.152,0.2804,0.4467,0.5742,0.7695,0.8663,0.2525,0.152,0.2804,0.4467,0.5742,0.7695,0.8663,0.981,0.9823,0.75503
arxiv_2023_6ibl0usf_vgae,0.1525,0.2811,0.4451,0.5694,0.7711,0.8638,0.2531,0.1525,0.2811,0.4451,0.5694,0.7711,0.8638,0.9811,0.9823,0.75528
arxiv_2023_gdna6d4t_vgae,0.153,0.2814,0.4454,0.5691,0.7711,0.8633,0.2535,0.153,0.2814,0.4454,0.5691,0.7711,0.8633,0.9811,0.9823,0.75541
arxiv_2023_nwjex7mj_vgae,0.152,0.2811,0.45,0.5742,0.7675,0.8676,0.2533,0.152,0.2811,0.45,0.5742,0.7675,0.8676,0.981,0.9823,0.75516
arxiv_2023_hf1wb7ry_vgae,0.152,0.2801,0.4433,0.5768,0.7716,0.8671,0.2523,0.152,0.2801,0.4433,0.5768,0.7716,0.8671,0.9811,0.9823,0.75592
arxiv_2023_xgpkbv5u_vgae,0.1515,0.2809,0.4484,0.5758,0.7678,0.8673,0.2527,0.1515,0.2809,0.4484,0.5758,0.7678,0.8673,0.981,0.9823,0.75567
arxiv_2023_x8hozxgg_vgae,0.153,0.2814,0.4456,0.5681,0.7701,0.8622,0.2533,0.153,0.2814,0.4456,0.5681,0.7701,0.8622,0.9811,0.9823,0.75528
cora_qnx420wf_vgae,0.3878,0.3954,0.6046,0.7414,0.8517,0.9202,0.4458,0.3878,0.3954,0.6046,0.7414,0.8517,0.9202,0.9049,0.9206,0.8327
cora_gizwhj2x_vgae,0.3992,0.5171,0.635,0.7414,0.8403,0.9125,0.4696,0.3992,0.5171,0.635,0.7414,0.8403,0.9125,0.9016,0.9211,0.80608
cora_4zczqt5y_vgae,0.4068,0.5171,0.6084,0.7338,0.8289,0.924,0.4752,0.4068,0.5171,0.6084,0.7338,0.8289,0.924,0.9064,0.9241,0.81749
cora_jw16m9l9_vgae,0.3726,0.4905,0.6008,0.7338,0.8327,0.9163,0.4447,0.3726,0.4905,0.6008,0.7338,0.8327,0.9163,0.9024,0.919,0.80608
cora_hkv96jrx_vgae,0.346,0.4449,0.6084,0.692,0.8365,0.9316,0.4307,0.346,0.4449,0.6084,0.692,0.8365,0.9316,0.898,0.9169,0.82319
cora_zjhr55nb_vgae,0.3688,0.4943,0.597,0.7224,0.8289,0.9125,0.4453,0.3688,0.4943,0.597,0.7224,0.8289,0.9125,0.8999,0.918,0.80989
cora_3khhnc43_vgae,0.3916,0.4829,0.5932,0.7034,0.8403,0.9163,0.4576,0.3916,0.4829,0.5932,0.7034,0.8403,0.9163,0.9034,0.9193,0.81179
cora_9mqvmt61_vgae,0.3954,0.5095,0.6388,0.7719,0.8441,0.9125,0.468,0.3954,0.5095,0.6388,0.7719,0.8441,0.9125,0.9058,0.9237,0.81179
Best,0.4068,0.5171,0.6388,0.7719,0.8555,0.9316,0.4752,0.4068,0.5171,0.6388,0.7719,0.8555,0.9316,0.9812,0.9823,0.8327
